Video ID,Title,URL,Thumbnail URL
C0lSdOrIpjY,Hug (놓지 않을게),https://www.youtube.com/watch?v=C0lSdOrIpjY,https://i.ytimg.com/vi/C0lSdOrIpjY/hqdefault.jpg
IXwKddztdtE,LUCY 2nd EP &#39;BLUE&#39; Official Visualizer Track 05. &#39;놓지 않을게&#39;,https://www.youtube.com/watch?v=IXwKddztdtE,https://i.ytimg.com/vi/IXwKddztdtE/hqdefault.jpg
zCuqdlxbr7A,221126 Childhood ENCORE &#39;Antifreeze&#39; LUCY 신광일 cam,https://www.youtube.com/watch?v=zCuqdlxbr7A,https://i.ytimg.com/vi/zCuqdlxbr7A/hqdefault.jpg
RJ9bjo4pMkE,오늘은 드러머가 아닌 보컬리스트 #신광일 의 무대🎤 #LUCY #루시 #놓지않을게,https://www.youtube.com/watch?v=RJ9bjo4pMkE,https://i.ytimg.com/vi/RJ9bjo4pMkE/hqdefault.jpg
Zt_TXeNrRw0,루시 LUCY - 놓지 않을게 Acoustic ver. live,https://www.youtube.com/watch?v=Zt_TXeNrRw0,https://i.ytimg.com/vi/Zt_TXeNrRw0/hqdefault.jpg
5sYI3GU0ry4,221010 BIFF &#39;놓지 않을게&#39; LUCY 신광일 cam,https://www.youtube.com/watch?v=5sYI3GU0ry4,https://i.ytimg.com/vi/5sYI3GU0ry4/hqdefault.jpg
bgDDta7UExY,루시 신광일 - 놓지 않을게 live,https://www.youtube.com/watch?v=bgDDta7UExY,https://i.ytimg.com/vi/bgDDta7UExY/hqdefault.jpg
0XN6fdLWb9Q,[Instrumental] 루시(LUCY) - 놓지 않을게(Hug),https://www.youtube.com/watch?v=0XN6fdLWb9Q,https://i.ytimg.com/vi/0XN6fdLWb9Q/hqdefault.jpg
xgo4SZ-kfCQ,220305 Connect with LUCY &#39;놓지 않을게&#39; LUCY 신광일 cam,https://www.youtube.com/watch?v=xgo4SZ-kfCQ,https://i.ytimg.com/vi/xgo4SZ-kfCQ/hqdefault.jpg
HcDIAXTBhlQ,루시 LUCY 신광일 - 놓지 않을게 live 많은 소절,https://www.youtube.com/watch?v=HcDIAXTBhlQ,https://i.ytimg.com/vi/HcDIAXTBhlQ/hqdefault.jpg
eqr9FSQFDEE,[4K] 221126 | LUCY 앵콜 콘서트 Childhood | LUCY | 놓지않을게 | 신광일 직캠,https://www.youtube.com/watch?v=eqr9FSQFDEE,https://i.ytimg.com/vi/eqr9FSQFDEE/hqdefault.jpg
m6tVvERg6Bk,221010 놓지 않을게 Hug | 루시 LUCY 신광일 최상엽 cam,https://www.youtube.com/watch?v=m6tVvERg6Bk,https://i.ytimg.com/vi/m6tVvERg6Bk/hqdefault.jpg
2IatoIOenPQ,[LUCY/신광일] 루시_놓지않을게 Cover By신광일,https://www.youtube.com/watch?v=2IatoIOenPQ,https://i.ytimg.com/vi/2IatoIOenPQ/hqdefault.jpg
r929gFOPJp0,221126 루시(LUCY) - 놓지 않을게 | 신광일 focus [Childhood 차일드후드 앵콜],https://www.youtube.com/watch?v=r929gFOPJp0,https://i.ytimg.com/vi/r929gFOPJp0/hqdefault.jpg
FhJzfMpcmKQ,[Thaisub] LUCY (루시) -  놓지 않을게 (Hug) #นิวมูนซับไทย,https://www.youtube.com/watch?v=FhJzfMpcmKQ,https://i.ytimg.com/vi/FhJzfMpcmKQ/hqdefault.jpg
mhcJXvU_C3c,[LUCY/신광일] 221127 막콘 안티프리즈,https://www.youtube.com/watch?v=mhcJXvU_C3c,https://i.ytimg.com/vi/mhcJXvU_C3c/hqdefault.jpg
HAQkspFb_-A,[4K] 루시(LUCY) - 놓지않을게 신광일 직캠(221010 동네방네비프),https://www.youtube.com/watch?v=HAQkspFb_-A,https://i.ytimg.com/vi/HAQkspFb_-A/hqdefault.jpg
v4VZs1257xs,[4K]220305 루시 신광일 놓지 않을게 직캠 @Connect with LUCY 밤공,https://www.youtube.com/watch?v=v4VZs1257xs,https://i.ytimg.com/vi/v4VZs1257xs/hqdefault.jpg
vXcK0oU1lo0,[LUCY/신광일] 221127 막콘 놓지않을게,https://www.youtube.com/watch?v=vXcK0oU1lo0,https://i.ytimg.com/vi/vXcK0oU1lo0/hqdefault.jpg
